artist_name,track_name,release_date,genre,lyrics
Logic,1-800-273-8255,2017,soul,"I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine (Who can relate? Woo) I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine  I don't wanna be alive, I don't wanna be alive I just wanna die today, I just wanna die I don't wanna be alive, I don't wanna be alive I just wanna die And let me tell you why  All this other shit I'm talkin' 'bout, they think they know it I've been praying for somebody to save me, no one's heroic And my life don't even matter, I know it, I know it I know I'm hurting deep down, but can't show it I never had a place to call my own I never had a home, ain't nobody callin' my phone Where you been? Where you at? What's on your mind? They say every life precious but nobody care about mine  I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine (Who can relate? Woo) I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine You might also like I want you to be alive, I want you to be alive You don't gotta die today, you don't gotta die I want you to be alive, I want you to be alive You don't gotta die, now let me tell you why It's the very first breath when your head's been drowning underwater And it's the lightness in the air when you're there chest-to-chest with a lover It's holding on, though the road's long, seeing light in the darkest things And when you stare at your reflection, finally knowing who it is I know that you'll thank God you did  I know where you been, where you are, where you goin' I know you're the reason I believe in life What's the day without a little night? I'm just tryna shed a little light It can be hard It can be so hard But you gotta live right now You got everything to give right now  I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine (Who can relate? Woo) I've been on the low, I been taking my time I feel like I'm out of my mind It feel like my life ain't mine I finally wanna be alive, I finally wanna be alive I don't wanna die today, I don't wanna die I finally wanna be alive, I finally wanna be alive I don't wanna die, I don't wanna die  Pain don't hurt the same, I know The lane I travel feels alone But I'm moving 'til my legs give out And I see my tears melt in the snow But I don't wanna cry, I don't wanna cry anymore I wanna feel alive, I don't even wanna die anymore Oh, I don't wanna I don't wanna I don't even wanna die anymore826Embed"
Sam Smith,Too Good at Goodbyes,2017,soul,"You must think that I'm stupid You must think that I'm a fool You must think that I'm new to this But I have seen this all before  I'm never gonna let you close to me Even though you mean the most to me 'Cause every time I open up, it hurts So I'm never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt  But every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less I love you Baby, we don't stand a chance, it's sad but it's true I'm way too good at goodbyes (I'm way too good at goodbyes) I'm way too good at goodbyes (I'm way too good at goodbyes)  I know you're thinkin' I'm heartless I know you're thinkin' I'm cold I'm just protectin' my innocence I'm just protectin' my soul See Sam Smith LiveGet tickets as low as $95You might also like I'm never gonna let you close to me Even though you mean the most to me 'Cause every time I open up, it hurts So I'm never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt  But every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less l love you Baby, we don't stand a chance, it's sad but it's true I'm way too good at goodbyes (I'm way too good at goodbyes) I'm way too good at goodbyes (I'm way too good at goodbyes) No way that you'll see me cry (No way that you'll see me cry) I'm way too good at goodbyes (I'm way too good at goodbyes)  No No, no, no, no, no (I'm way too good at goodbyes) No, no, no, no No, no, no (I'm way too good at goodbyes) (No way that you'll see me cry) Ahhh (I'm way too good at goodbyes) 'Cause every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less I love you Baby, we don't stand a chance, it's sad but it's true I'm way too good at goodbyes331Embed"
Adele,Hello,2015,soul,"Hello, it's me I was wondering if, after all these years, you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healin' Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt before the world fell at our feet  There's such a difference between us And a million miles Hello from the other side I must've called a thousand times To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside At least, I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore  Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town Where nothing ever happened? See Adele LiveGet tickets as low as $129You might also like It's no secret that the both of us Are running out of time So hello from the other side (Other side) I must've called a thousand times (Thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (Outside) At least, I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore  (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore Hello from the other side (Other side) I must've called a thousand times (Thousand times) To tell you I'm sorry for everything that I've done But when I call, you never seem to be home Hello from the outside (Outside) At least, I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart anymore 260Embed"
John Legend,All of Me,2013,soul,"What would I do without your smart mouth? Drawing me in and you kicking me out You've got my head spinning, no kidding I can't pin you down What's goin' on in that beautiful mind? I'm on your magical mystery ride And I'm so dizzy, don't know what hit me But I'll be alright  My head's under water, but I'm breathing fine You're crazy and I'm out of my mind  'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning  'Cause I give you all of me And you give me all of you, oh-oh See John Legend LiveGet tickets as low as $70You might also like How many times do I have to tell you? Even when you're crying, you're beautiful, too The world is beating you down, I'm around Through every mood You're my downfall, you're my muse My worst distraction, my rhythm and blues I can't stop singing, it's ringing In my head for you  My head's under water, but I'm breathing fine You're crazy and I'm out of my mind  'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning  'Cause I give you all of me And you give me all of you, oh-oh Give me all of you, oh Cards on the table, we're both showing hearts Risking it all, though it's hard  'Cause all of me loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me, I'll give my all to you You're my end and my beginning Even when I lose, I'm winning  'Cause I give you all of me And you give me all of you  I give you all of me And you give me all of you, oh-oh872Embed"
Childish Gambino,Redbone,2016,soul,"Daylight I wake up feelin' like you won't play right I used to know, but now that shit don't feel right It made me put away my pride So long You made a nigga wait for some, so long You make it hard for boy like that to go on I'm wishin' I could make this mine, oh  (If you want it) Yeah (You can have it) Oh, oh, oh (If you need it) Ooh (We can make it, oh) If you want it You can have it  But stay woke Niggas creepin' They gon' find you Gon' catch you sleepin', ooh Now stay woke Niggas creepin' Now, don't you close your eyes You might also like Too late You wanna make it right, but now it's too late My peanut butter chocolate cake with Kool-Aid I'm tryin' not to waste my time  (If you want it) Oh (You can have it) You can have it (If you need it) You better believe in somethin' (We can make it, oh) If you want it (You can have it) Ahh!  But stay woke (Stay woke) Niggas creepin' (They be creepin') They gon' find you (They gon' find you) Gon' catch you sleepin', ooh (Gon' catch you sleepin', put your hands up now, baby) Now stay woke Niggas creepin' Now, don't you close your eyes But stay woke (Ooh-ahh) Niggas creepin' (They gon' find you) They gon' find you Gon' catch you sleepin', ooh (Gon' catch you, gon' catch you) Now stay woke Niggas creepin' Now, don't you close your eyes How'd it get so scandalous? Oh, how'd it get so scandalous? Oh, oh, baby you, how'd it get How'd it get so scandalous? How'd it get so scandalous? But stay woke But stay woke358Embed"
Frank Ocean,Ivy,2016,soul,"I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare, I couldn't see you comin' The start of nothin' Ooh, I could hate you now It's quite alright to hate me now When we both know that deep down The feeling still deep down is good  If I could see through walls, I could see you're faking If you could see my thoughts, you would see our faces Safe in my rental like an armored truck back then We didn't give a fuck back then I ain't a kid no more We'll never be those kids again We'd drive to Syd's Had the X6 back then, back then No matter what I did, my waves wouldn't dip back then Everything sucked back then, we were friends  I thought that I was dreamin' when you said you love me The start of nothin' I had no chance to prepare, I couldn't see you comin' The start of nothin' Ooh, I could hate you now It's quite alright to hate me now But we both know that deep down The feeling still deep down is good You might also like In the halls of your hotel Arm around my shoulder so I could tell How much I meant to you, meant it sincere back then We had time to kill back then You ain't a kid no more, we'll never be those kids again It's not the same, ivory's illegal, don't you remember?  I broke your heart last week You'll probably feel better by the weekend Still remember, had you going crazy Screamin' my name, the feeling deep down is good  I thought that I was dreamin' when you said you love me The start of nothin' Had no chance to prepare, couldn't see you comin' And we started from nothin' Ooh, I could hate you now It's alright to hate me now We both know that deep down The feeling still deep down is good  All the things I didn't mean to say, I didn't mean to do There were things you didn't need to say, did you mean to? Mean to? I've been dreamin' of you, dreamin' of you I've been dreamin' of you, dreamin' of you I've been dreamin', dreamin'208Embed"
Frank Ocean,Pink Matter,2012,soul,"And the peaches and the mangos That you could sell for me  What do you think my brain is made for Is it just a container for the mind? This great grey matter Sensei replied, What is your woman? Is she just a container for the child? That soft pink matter Cotton candy, Majin Buu, oh, oh, ohh Close my eyes and fall into you, you, you My God, she's giving me pleasure  What if the sky and the stars are for show And the aliens are watching live From the purple matter? Sensei went quiet then violent And we sparred until we both grew tired Nothing mattered Cotton candy, Majin Buu, oh, oh, oh, oh Dim the lights and fall into you, you, you My God, giving me pleasure Pleasure, pleasure, pleasure Pleasure over matter You might also like (Hey, hey) Since you been gone, I been having withdrawals You were such a habit to call I ain't myself at all, had to tell myself, Naw She better with some fella with a regular job I didn't wanna get her involved By dinner Mr. Benjamin was sitting in awe Hopped into my car; drove far Far's too close and I remember my memory's no sharp Butter knife, what a life, anyway I'm building y'all a clock, stop, what am I, Hemingway? She had the kind of body that would probably intimidate Any of 'em that were un-southern, not me, cousin If models are made for modelin' Thick girls are made for cuddlin' Switch worlds and we can huddle then Who needs another friend? I need to hold your hand You'd need no other man, we'd flee to other lands Grey matter Blue used to be my favorite color Now I ain't got no choice Blue matter You're good at being bad, you're bad at being good For heaven's sakes, go to hell, nah, knock on wood, hey You're good at being bad (You're bad at being good) For heaven's sakes, go to hell (Knock on wood) For heaven's sakes, go to hell Knock, knock, knock, knock on wood Well, frankly, when that ocean so mu'fucking good Make her swab the mu'fucking wood Make her walk the mu'fucking plank Make her rob a mu'fucking bank With no mask on and a rusty revolver286Embed"
Bryson Tiller,Exchange,2015,soul,"This what happen when I think 'bout you I get in my feelings, yeah, I start reminiscing, yeah Next time around, fuck, I want it to be different, yeah Waiting on a sign, guess it's time for a different prayer Lord, please save her for me Do this one favor for me I had to change my player ways Got way too complicated for me I hope she's waiting for me Everywhere she go they playin' my song That's why I say the things that I say That way I know you can't ignore me But so, so (Yeah)  So give me all of you in exchange for me Just give me all of you in exchange for me, for me  Break it down, yeah Yessir Check  We used to lay up and then stay up, have sex and then blow dank I shouldn't have played no games with you, just leveled-up my rank Last time I saw you we ain't speak, that was strange Guess it's nothing I can do, man, it's true, exes change, yeah Ayy, guess you changed for the better (Better!) I know you know how to make me jealous I was never loyal, let you tell it, yo But I'm ready to fix it if you ready, baby But so-so (Yeah) See Bryson Tiller LiveGet tickets as low as $26You might also like So give me all of you in exchange for me Just give me all of you in exchange for me, for me  For real shawty You already know  Is you at Two Keys or Tin Roof? Turn up with young Tiller, we just gettin' loose Maybe I'm lowkey feelin' you, don't be cynical Won’t fuck you over, wanna fuck you over and again The truth is I ain't really here to start problems Girl, I swear to God them hoes can't never say they got him Know how bad you wanna tell 'em, Don't try him I don't wanna tell 'em, let's surprise 'em I don't wanna get into it – why you stressin' him? I've been drivin' Back and forth, from Louisville to Lexington, mileage On the whip, got your ass in my grip College make you wanna strip for them dollars Nah girl, I got a job for you, swear to God I can do a lot for you Saw you strollin' through the campus, I had to stop for you I was scrollin' through the 'gram, girl, I had to follow you Say what's up with you? You got my soul142Embed"
Sam Smith,Stay With Me,2014,soul,"Guess it's true, I'm not good at a one-night stand But I still need love 'cause I'm just a man These nights never seem to go to plan I don't want you to leave, will you hold my hand? Oh, won't you stay with me? 'Cause you're all I need This ain't love, it's clear to see But darling, stay with me  Why am I so emotional? No, it's not a good look, gain some self-control And deep down, I know this never works But you can lay with me so it doesn't hurt Oh, won't you stay with me? 'Cause you're all I need This ain't love, it's clear to see But darling, stay with me  Oh-oh-oh-ohh, oh-oh, oh-oh (Ooh) Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh) Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh) Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh) See Sam Smith LiveGet tickets as low as $95You might also like Oh, won't you stay with me? 'Cause you're all I need This ain't love, it's clear to see But darling, stay with me Oh, won't you stay with me? 'Cause you're all I need This ain't love, it's clear to see But darling, stay with me460Embed"
Chance the Rapper,Cocoa Butter Kisses,2013,soul,"Na-na-na-na-na-na-na-na-na-na, igh Na-na-na-na-na-na-na-na-na-na, igh  Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I miss my cocoa butter kisses  Okie dokie, alkie, keep it low-key like Thor lil' bro Or he'll go blow the loudy, saudy of sour Saudi Wiley up off peyote, wilin' like that coyote If I sip any Henny, my belly just might be outie Pull up inside a huggy, Starsky & Hutch a dougie I just opened up the pack, in an hour I'll ash my lucky Tonight she just yelling Fuck me Two weeks she'll be yelling Fuck me Used to like orange cassette tapes with Timmy, Tommy, and Chuckie And Chuck E. Cheese's pizzas, Jesus pieces, sing Jesus love me Put Visine inside my eyes so my grandma would fucking hug me Oh, generation above me, I know you still remember me My afro look just like daddy's, y'all taught me how to go hunting, blam You might also like Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I miss my cocoa butter kisses Cigarettes on cigarettes, my mama think I stank (Innanet) I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I miss my cocoa butter kisses (Innanet) (Kisses, kisses)  I will smoke a little something but I don't inhale Everywhere that I go, everywhere, they be asking how's it going Say the going's well, go figure, Victor's light skinned Jesus got me feeling like Colin Powell, all praise to the God God knows he's a pro, he's a pro like COINTEL Check, checkmate, check me, take me to the bedroom Like she know me well, I mean normally You see Norma Jean wouldn't kick it with Farmer Phil But these kids these days, they get so high Burn trees, smoke chlorophyll, 'til they can't feel shit Shit-faced, faced it, 15 hits on this L Elevated, train, and the craziest thing Got me feeling like Lauryn Hill, miseducated, my dick delegated Rap Bill Bellamy, they said I shoulda never made it Probably shoulda been dead or in jail Deadbeat dad, enough of that jazz Asshole, absinthe, thumpin' that glass Are we there yet? Ice cubes in a bong Rip, brain-dead, take a tug and then pass I think we all addicted Yeah, I think we all addicted Really though, I think we all addicted (Yah) I think we all addicted  Cigarettes on cigarettes, my mama think I stank I got burn holes in my memories, my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I think we all addicted (Kisses, kisses)  Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I miss my cocoa butter kisses I could make a flow, pitter patter with a patter pitter, juicy Used to be in a jalabiya and a kufi Trying hard not to be addicted to a groupie I ended up on an album cover in a Coogi You see, I be still a God but a goofy You be flowing about drugs and a Uzi That's the dual principle, sometimes I'ma be about some hoes Sometimes I'ma wanna make a movie And when it come to rapping fast, I'm the Higgs Boson (Yeah) And though my style freakish I could still break your body down to five pieces like I did Voltron 'Cause I'm addicted to the craft and I be off a OG Know me, I'm the Obi-Wan Kenobi of the dope, see (What?) Never scared of mean spirits, methamphetamine lyrics Cooler like I'm off of codeine, low key Don't be so judgmental, even though I'm reminiscing If I don't know what I miss is I'ma end up figuring out that it's home And my mother and my grandmother cocoa butter kisses This is just a testament to the ones that raised me The ones that I praise and I'm thanking I need 'em but the chronic all up in my clothes And I wanna get a hug, and I can't 'cause I'm stanking Never too old for a spanking, IGH! Cigarettes on cigarettes, my momma think I stank I got burn holes in my memories, my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I think we all addicted (Kisses, kisses)  Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses (Kisses, kisses) I miss my cocoa butter kisses (Kisses, kisses) Cigarettes on cigarettes, my mama think I stank I got burn holes in my hoodies, all my homies think it's dank I miss my cocoa butter kisses I miss my cocoa butter kisses 491Embed"
